file,verdict,likely_front,failure_cat,max_ring,any_feature_a,flange_hough,total_marks,max_marks_hole,best_circ,top8_circs,n_holes,ok_corners,low_circ_corners,gate_miss_corners,hough_miss_corners,oof_corners
20260906_095026_CAM#000103_NG_NO_FEATURE.jpg,OK,YES,-,3,True,Y,6,2,0.887,0.89|0.88|0.87|0.87|0.86|0.84|0.00|0.00,7,6,0,3,19,0
20260906_095027_CAM#000104_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),4,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,9,0,0,0,36,0
20260906_095028_CAM#000106_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,7,0,0,1,26,1
20260906_095029_CAM#000107_NG_NO_FEATURE.jpg,OK,YES,-,2,True,Y,14,3,0.891,0.89|0.88|0.88|0.88|0.87|0.87|0.86|0.86,7,14,0,2,11,1
20260906_095032_CAM#000111_NG_NO_FEATURE.jpg,OK,YES,-,3,True,Y,8,2,0.876,0.88|0.86|0.86|0.86|0.83|0.83|0.83|0.82,8,8,1,5,17,1
20260906_095032_CAM#000112_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,2,1,0.867,0.87|0.84|0.00|0.00|0.00|0.00|0.00|0.00,9,2,0,5,28,1
20260906_095032_CAM#000113_NG_NO_FEATURE.jpg,OK,YES,-,3,True,Y,14,3,0.874,0.87|0.87|0.87|0.87|0.87|0.87|0.86|0.86,7,14,0,1,12,1
20260906_095033_CAM#000114_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,8,0,0,2,30,0
20260906_095034_CAM#000117_NG_NO_FEATURE.jpg,OK,YES,-,2,True,Y,11,3,0.872,0.87|0.87|0.87|0.87|0.86|0.86|0.85|0.85,6,11,0,2,11,0
20260906_095034_CAM#000118_NG_NO_FEATURE.jpg,OK,YES,-,3,True,Y,9,2,0.88,0.88|0.88|0.88|0.87|0.87|0.85|0.85|0.85,8,9,1,1,20,1
